Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
BF7851,51-396B,,19-686F,52,,162,6,,0,0,,1,4800,4800,400,12,,,60,36,"01R, EAE, EAW",TW,TW
BF7853,01-921-2-2,06-375-2-1,"09-424-3-1, 09-450-3-1",39,9,"15, 38",0,0,"0, 0",0,0,12,42,504,7,6,132,72,60,36,009,,
BF7857,51-264I,,01-168D,6,,292,0,,0,0,,1,4800,4800,200,24,,,18,6,"01R, EAE, EAW",TW,TW
BF786,53-449D,,"03-033D, 22-453-5-2",25,,"22, 7",0,,"2, 7",0,,12,72,864,8,9,,,48,24,VNA,,
BF7860,51-272H,,01-158C,34,,56,0,,0,0,,1,2400,2400,96,25,,,36,24,"01R, EAE, EAW",TW,TW
BF7861,51-258J,,01-156C,26,,12,0,,0,0,,1,1000,1000,40,25,,,36,24,"01R, EAE, EAW",KR,KR
BF7864,51-276A,,02-573C,13,,4,0,,0,0,,12,88,1056,22,4,,,18,6,RS4,TW,TW
BF7865,51-284F,,01-170E,12,,241,0,,0,0,,1,2400,2400,480,5,,,20,10,"01R, EAE, EAW",RU,RU
BF7866,53-210E,,19-726A,24,,2,0,,0,0,,12,120,1440,15,8,,,27,15,RS8,IT,IT
BF7870,53-202B,,19-414E,1,,5,0,,0,0,,12,40,480,20,2,,,18,6,RS6,CZ,CZ
BF7871,53-222E,,15-411-1-1,23,,2,0,,0,0,,12,40,480,20,2,,,24,12,VNA,CZ,CZ
BF7879,55-456A,,02-206A,7,,14,0,,0,0,,12,88,1056,11,8,,,15,3,RS2,,
BF788,57-414B,02-213-1-1,"01-411-3-1, 01-413-3-1, 42-663-1-1",16,155,"135, 135, 270",0,11,"0, 0, 0",0,0,12,135,1620,15,9,3240,1620,20,8,001,,
BF7880,53-207A,,15-420-6-1,24,,2,0,,0,0,,12,80,960,40,2,,,45,21,VNA,CY,CY
BF7883,54-243C,,"22-453-5-1, 99-999Z",13,,"39, 3",2,,"0, 3",36,,12,110,1320,11,10,,,50,14,VNA,,
BF7888,56-426A,,22-465-3-2,12,,5,0,,0,0,,12,88,1056,11,8,,,18,6,VNA,,
BF789,06-904-5-2,,"22-467-2-2, 99-999Z",10,,"73, 1",0,,"0, 1",12,,12,88,1056,11,8,,,24,12,VNA,,
BF7892,05-908-5-2,,02-470G,34,,10,4,,0,0,,12,135,1620,15,9,,,45,21,VNA,,
BF7898-D,54-252A,,02-309H,4,,17,0,,0,0,,12,70,840,14,5,,,15,3,RS2,,
BF790,54-250A,02-235-2-4,"09-424-5-2, 09-455-2-1, 09-470-6-1",27,7,"147, 14, 30",0,1,"0, 0, 0",0,0,12,150,1800,15,10,120,60,45,21,009,,
BF7903,01-915-4-6,,"19-557H, 22-465-5-1",66,,"72, 66",0,,"0, 3",0,,12,336,4032,48,7,,,84,48,VNA,RU,"RU, RU"
BF7904-D,53-254A,06-225-1-1,"05-463-1-1, 17-475-6-1",15,126,"60, 72",0,1,"0, 0",0,0,12,72,864,12,6,2016,1008,21,9,005,,
BF7905-D,55-902-5-1,,02-566B,10,,4,0,,0,0,,12,84,1008,14,6,,,15,3,VNA,,
BF7907,04-904-3-1,,"01-039F, 01-065D",11,,"5, 24",3,,"0, 0",0,,12,88,1056,11,8,,,18,6,VNA,,
BF7909,52-199C,,02-597H,15,,8,0,,0,0,,12,135,1620,15,9,,,24,12,RS4,,
BF791-O,54-263D,,02-206B,20,,12,0,,0,0,,12,81,972,9,9,,,14,2,RS2,,
BF7911,54-211D,,15-407-3-2,12,,9,0,,0,0,,12,42,504,7,6,,,13,1,VNA,,
BF7912,52-237A,07-270-1-1,"08-404-1-1, 08-436-3-2",25,129,"90, 90",0,0,"0, 0",0,0,12,100,1200,10,10,2400,1200,32,20,008,CN,"CN, CN"
BF7913,52-227D,,"14-437-3-2, 22-425-1-2",11,,"29, 19",0,,"1, 0",0,,6,48,288,12,4,,,14,8,VNA,,
BF7919,52-265C,,02-341F,6,,19,0,,0,0,,12,88,1056,11,8,,,15,3,RS2,,
BF792,04-904-3-2,02-109-2-7,"02-429E, 22-451-5-1",21,5,"20, 41",0,0,"0, 0",0,0,12,81,972,9,9,60,36,22,10,009,,
BF7922,54-417B,02-259-1-1,"02-453I, 09-450-3-2",4,119,"66, 66",0,3,"0, 0",0,0,12,66,792,11,6,1584,792,14,2,001,,
BF7923,52-266D,,02-374D,9,,11,0,,0,0,,12,77,924,11,7,,,14,2,RS2,,
BF7924,05-903-1-1,06-207-1-1,"05-413-1-1, 05-413-4-1",23,86,"66, 66",0,2,"0, 0",0,0,12,66,792,11,6,1584,792,15,3,005,,
BF7925,01-915-1-3,02-257-2-7,09-437-2-2,63,9,2,0,0,0,0,0,12,66,792,11,6,120,60,96,48,009,,
BF7929 KIT,,06-207-2-1,"09-427-2-2, 32-674-1-1",,40,"180, 1200",,32,"20, 0",,20,1,300,300,50,6,60,30,,,009,,
BF7931,52-262B,,17-072F,14,,50,0,,0,0,,12,112,1344,14,8,,,18,6,RS6,CN,CN
BF7932,05-906-4-1,02-261-1-1,"01-461-3-1, 01-461-3-2, 34-665-1-1, 44-607-1-1",12,71,"48, 48, 192, 288",0,0,"0, 0, 0, 0",0,0,6,48,288,12,4,576,288,14,8,001,,
BF7937,53-268C,,19-141H,14,,10,0,,0,0,,12,40,480,20,2,,,18,6,RS6,TW,TW
BF794,60-901-2-1,,02-866B,15,,8,0,,0,0,,12,66,792,22,3,,,36,12,VNA,TW,TW
BF7940,01-929-3-2,03-230-1-1,"04-430-4-1, 04-432-3-2, 04-460-2-2, 31-631-1-1",24,69,"66, 66, 19, 132",0,2,"0, 0, 0, 0",0,0,12,66,792,11,6,1584,792,48,24,004,,
BF7941,53-232B,,01-103E,14,,3,0,,0,0,,12,55,660,11,5,,,14,2,RS2,,
BF7942,55-901-1-2,"03-222-2-9, 23-412-2-1",09-430-3-1,19,"0, 7",40,0,"0, 0",0,0,"0, 0",12,55,660,11,5,,,14,2,009,,
BF7943,54-469D,03-248-1-1,"04-430-4-2, 04-448-3-1, 04-448-3-2, 04-448-4-1",9,34,"32, 32, 32, 32",0,2,"0, 0, 0, 0",0,0,12,32,384,8,4,768,384,20,8,004,,
BF7945,52-436C,,14-427-3-2,22,,3,0,,0,0,,12,104,1248,26,4,,,30,18,VNA,TW,TW
BF7948,01-903-4-3,03-266-2-1,"09-446-4-1, 44-698-1-1",20,0,"48, 63",0,1,"14, 0",0,14,6,48,288,12,4,,,30,18,009,,
BF7949-D,04-906-2-1,03-210-1-1,"04-404-1-2, 04-410-5-2, 04-412-5-1, 09-452-1-2, 16-474-5-1, 50-618-1-1",13,30,"60, 60, 60, 60, 60, 240",0,1,"0, 0, 0, 60, 0, 0",0,60,12,60,720,12,5,1440,720,20,8,004,,
BF7950-D,04-903-1-1,03-206-1-1,"04-406-3-1, 04-408-4-2, 04-474-1-1, 50-602-1-1",19,80,"60, 60, 60, 240",0,7,"0, 0, 0, 0",0,0,12,60,720,10,5,1440,720,20,8,004,,
BF7951-D,56-257C,03-238-1-2,19-476-2-2,25,47,60,3,5,0,0,0,12,50,600,10,5,900,300,32,20,004,,
BF7952-D,01-919-3-3,06-209-1-2,"05-473-3-2, 08-404-4-1",27,98,"52, 52",12,3,"0, 0",24,0,12,84,1008,12,7,2016,1008,48,24,005,,
BF7955,52-412A,,19-341H,6,,20,3,,0,0,,12,88,1056,11,8,,,14,2,RS6,,
BF7957,56-244A,,"21-461-2-1, 99-999Z",16,,"49, 0",8,,"1, -1",24,,12,77,924,11,7,,,36,24,VNA,,
BF7958,55-412C,,02-502E,14,,7,0,,0,0,,12,32,384,8,4,,,20,8,RS4,IL,IL
BF7959,59-904-3-3,,02-509B,25,,4,0,,0,0,,12,70,840,14,5,,,30,18,VNA,TW,TW
BF7960,56-909-2-2,,19-585C,20,,11,0,,0,0,,12,72,864,12,6,,,30,18,RS8,TW,TW
BF7961,57-905-4-1,,15-409-2-2,22,,7,0,,0,0,,12,90,1080,15,6,,,30,18,VNA,TW,TW
BF7962,61-906-4-3,,15-477-6-2,16,,3,0,,0,0,,12,50,600,10,5,,,21,9,VNA,IL,IL
BF7963,57-901-5-3,,15-411-6-1,14,,3,0,,0,0,,12,72,864,9,8,,,21,9,VNA,TW,TW
BF7964-D,55-471C,,02-410B,7,,3,0,,0,0,,12,84,1008,28,3,,,15,3,RS2,,
BF7965,55-456C,,"21-467-1-1, 21-467-1-2, 21-469-1-2, 35-654-1-1, 35-655-1-1",19,,"11, 36, 36, 140, 144",0,,"0, 0, 0, 0, 0",0,,12,36,432,9,4,,,32,16,VNA,TR,"TR, TR, TR, TR, TR"
BF7966,01-913-3-2,02-233-2-1,"09-415-5-2, 09-478-6-1",76,9,"44, 9",0,0,"0, 0",0,0,12,66,792,11,6,168,84,108,60,009,,
BF7967,01-921-1-5,,"04-018A, 99-999Z",46,,"60, 1",0,,"0, 1",12,,12,140,1680,14,10,,,60,48,RS2,,
BF7968,54-239C,,02-421G,3,,15,0,,0,0,,12,110,1320,11,10,,,15,3,RS2,,
BF7968-O,55-458A,,02-214E,9,,5,0,,0,0,,12,81,972,9,9,,,14,2,RS2,,
BF7969,51-462C,,02-574G,13,,4,0,,0,0,,12,150,1800,15,10,,,20,8,RS4,,
BF797,57-448B,,02-341E,16,,29,0,,0,0,,12,88,1056,11,8,,,14,2,RS2,,
BF7970,51-484C,,19-358D,13,,14,1,,0,0,,12,60,720,10,6,,,14,2,RS6,CN,CN
BF7971-D,04-902-1-1,,"02-269I, 02-286I",6,,"29, 36",0,,"0, 0",0,,12,50,600,10,5,,,18,6,EAR,,
BF7971-DM,"52-449D, 54-413B",02-113-1-2,01-413-2-2,"6, 5",61,37,"0, 0",1,0,"0, 0",0,12,60,720,11,5,1320,660,15,3,001,,
BF7972,56-234A,,03-079B,32,,17,0,,0,0,,12,80,960,10,8,,,48,24,RS2,AT,AT
BF7976,59-906-3-4,,02-534D,6,,10,0,,0,0,,12,66,792,11,6,,,15,3,VNA,CN,CN
BF7979,59-904-3-2,,15-412-3-2,9,,2,1,,0,0,,12,55,660,11,5,,,15,3,VNA,,
BF798,01-925-3-1,06-227-1-1,05-403-6-1,40,51,66,0,0,0,0,0,12,66,792,11,6,1188,396,48,24,005,,
BF7985,57-251C,,02-246B,12,,1,0,,0,0,,12,88,1056,11,8,,,14,2,RS2,,
BF7987,54-907-3-2,,02-266B,2,,17,0,,0,0,,12,88,1056,11,8,,,14,2,RS2,,
BF7988,59-908-3-2,,01-070A,23,,32,0,,0,0,,12,88,1056,11,8,,,24,12,VNA,,
BF7989-D,51-474D,,02-269G,6,,13,0,,0,0,,12,84,1008,14,6,,,15,3,RS2,,
BF799,57-261A,10-412-2-2,"22-425-4-2, 22-448-1-2",4,31,"36, 27",0,0,"0, 0",0,0,6,36,216,9,4,216,108,8,2,2DF,,
BF7993,51-488C,,02-342E,10,,7,0,,0,0,,12,66,792,11,6,,,14,2,RS2,,
BF7996,54-436C,03-230-2-7,"03-153A, 04-124F",2,4,"12, 30",0,0,"0, 0",0,0,6,36,216,9,4,,,8,2,009,,
BF7997,54-252C,,"14-413-6-1, 14-430-6-2, 15-420-1-1",10,,"6, 13, 55",16,,"0, 2, 0",24,,12,55,660,11,5,,,24,12,VNA,,
BF7998,05-901-5-1,,"04-160A, 99-999Z",4,,"27, 1",0,,"0, 1",12,,12,90,1080,15,6,,,20,8,RS4,,
BF805,51-244G,,01-148E,10,,252,0,,0,0,,1,4032,4032,252,16,,,22,10,"01R, EAE, EAW",RU,RU
BF806,01-915-4-7,,"22-465-4-1, 99-999Z",23,,"46, 2",0,,"0, 2",24,,12,144,1728,16,9,,,48,24,VNA,,
BF812,55-437B,,19-417B,13,,14,0,,0,0,,12,77,924,77,1,,,21,9,RS6,CN,CN
BF825,54-460C,02-259-1-2,"01-469-2-1, 40-617-1-1, 40-686-1-1",26,173,"121, 968, 1573",0,27,"0, 0, 0",0,0,12,121,1452,11,11,2904,1452,36,24,001,MA,"MA, MA, MA"
BF830,59-903-4-2,,14-477-1-2,15,,2,0,,0,0,,12,84,1008,28,3,,,24,12,VNA,TW,TW
BF833,55-264D,02-157-1-2,99-999Z,22,69,3,0,1,3,36,0,12,200,2400,40,5,4800,2400,60,24,001,CN,CN
BF836,01-911-3-4,02-255-2-5,09-464-1-1,94,3,150,2,1,0,0,0,12,200,2400,40,5,48,24,108,60,009,CN,CN
BF836-K3,01-919-2-8,,"16-405-4-2, 21-438-4-1",99,,"85, 20",0,,"0, 0",0,,12,200,2400,40,5,,,108,60,VNA,CN,"CN, CN"
BF836-K4,51-280E,,01-183C,14,,30,0,,0,0,,1,2400,2400,480,5,,,18,6,"01R, EAE, EAW",CN,CN
BF837,52-418E,,01-156B,30,,294,0,,0,0,,1,1800,1800,90,20,,,36,24,"01R, EAE, EAW",RU,RU
BF838-F2,15-905-4-4,,10-000A,0,,8,0,,0,0,,12,88,1056,11,8,,,18,6,RS6,MX,MX
BF840,10-908-5-4,"02-209-2-5, 66-034A",09-435-1-1,68,"0, 128",230,0,"1, 0",31,0,"31, 0",12,200,2400,40,5,372,192,84,60,009,TW,TW
BF840-K1,16-901-5-2,"02-215-2-1, 68-069A","09-416-2-1, 09-454-1-2",59,"26, 26","6, 179",0,"1, 0","0, 0",0,"0, 0",12,200,2400,40,5,384,192,14,2,009,"CN, TW","TW, TW"
BF843,56-436B,,83-112B,21,,18,0,,0,0,,12,200,2400,40,5,,,24,12,1D1,,
BF853,01-913-3-5,,"16-402-2-2, 19-474-2-2, 21-459-5-1",63,,"207, 141, 174",5,,"0, -1, 0",0,,12,198,2376,22,9,,,84,48,VNA,TW,"TW, TW, TW"
BF855,56-422C,,03-084B,13,,16,0,,0,0,,12,135,1620,15,9,,,24,12,RS2,,
BF856,55-418C,03-160-2-3,"09-444-1-2, 09-462-2-1, 17-474-3-1, 19-476-3-2",16,4,"23, 20, 41, 49",0,0,"0, 0, 0, 0",0,0,12,42,504,7,6,84,48,21,9,009,KR,"KR, KR, KR, KR"
BF862,05-905-1-1,,"04-040C, 99-999Z",14,,"8, 1",3,,"0, 1",12,,12,70,840,10,7,,,27,15,2DF,,
BF863,53-425C,,"01-035C, 01-076C",17,,"12, 21",2,,"0, 0",0,,12,70,840,10,7,,,24,12,RS2,,
BF865,51-200F,,15-411-3-1,15,,12,0,,0,0,,1,2400,2400,480,5,,,18,6,"01R, EAE, EAW",IL,IL
BF868,60-902-2-4,,09-164L,21,,1,0,,0,0,,12,120,1440,40,3,,,36,12,VNA,TW,TW
BF873,51-258E,,14-422-2-1,4,,3,0,,0,0,,12,200,2400,50,4,,,14,2,VNA,RU,RU
BF874,53-902-4-3,,02-521C,5,,30,0,,0,0,,12,110,1320,55,2,,,14,2,RS4,CN,CN
BF876,01-925-3-3,,"14-455-4-2, 15-437-3-1, 15-437-4-1, 16-402-5-1",42,,"33, 42, 18, 37",3,,"1, 0, 0, 0",0,,12,42,504,7,6,,,48,24,VNA,,
BF877,53-910-3-2,06-261-1-1,"05-411-5-1, 05-411-6-1, 05-461-3-1, 41-653-1-1",48,49,"42, 42, 42, 81",0,2,"0, 0, 0, 0",0,0,12,42,504,7,6,1008,504,24,12,005,,
BF879,51-290G,,19-446G,11,,19,0,,0,0,,12,150,1800,30,5,,,18,6,RS6,TW,TW
BF880-FP,56-217C,,17-029B,11,,15,0,,0,0,,12,35,420,7,5,,,20,8,RS6,,
BF881,53-902-4-4,,17-460-6-2,10,,7,0,,0,0,,12,400,4800,80,5,,,14,2,VNA,TW,TW
BF884,57-208A,02-141-1-2,"01-441-1-2, 01-441-2-2",42,106,"77, 77",0,0,"0, 0",0,0,12,77,924,77,1,1848,924,56,32,001,MA,"MA, MA"
BF885,56-201B,,14-444-6-1,7,,4,0,,0,0,,12,77,924,77,1,,,21,9,VNA,IL,IL
BF886,55-208A,,02-826C,21,,3,0,,0,0,,12,126,1512,42,3,,,30,18,RS4,TW,TW
BF889,51-222H,,01-153B,16,,40,0,,0,0,,1,1800,1800,100,18,,,32,8,"01R, EAE, EAW",TW,TW
BF890,55-265B,,19-201B,18,,6,0,,0,0,,12,84,1008,28,3,,,21,9,RS6,TW,TW
BF891,56-432C,,19-317H,12,,11,0,,0,0,,12,70,840,10,7,,,16,4,RS6,,
BF892,05-901-3-1,,"10-034L, 21-478-2-2",12,,"12, 8",0,,"0, 0",0,,12,55,660,11,5,,,24,12,VNA,,
BF896,01-919-4-1,03-244-2-3,"18-471-5-1, 22-470-4-2",56,6,"40, 34",1,0,"0, 0",0,0,12,77,924,11,7,,,60,36,009,,
BF909,55-423B,02-219-2-4,"09-428-4-2, 18-087C, 32-604-1-1, 40-687-1-1",28,12,"60, 27, 360, 428",0,1,"0, 0, 0, 0",0,0,12,60,720,15,4,252,132,33,9,009,,
BF912,01-919-2-2,,"19-476-2-1, 21-437-3-2",49,,"39, 31",1,,"1, 0",0,,12,60,720,15,4,,,72,36,VNA,,
BF914,56-401C,,22-423-4-1,10,,41,1,,0,0,,6,60,360,15,4,,,12,6,VNA,,
BF915,10-904-3-1,03-218-2-1,"--D-4, 09-478-1-2, 42-662-1-1",13,7,"14, 66, 184",0,1,"14, 66, 0",0,14,12,66,792,11,6,,,15,3,009,,
BF920,51-292G,,"02-342C, 99-999Z",2,,"8, 1",0,,"0, 1",12,,12,150,1800,25,6,,,18,6,RS2,TW,"TW, TW"
BF925,56-468A,,02-761C,12,,3,0,,0,0,,12,84,1008,21,4,,,15,3,RS4,IL,IL
BF928,56-444B,,02-685D,19,,20,0,,0,0,,12,120,1440,24,5,,,24,12,RS4,RU,RU
BF929,56-458A,,15-409-6-1,13,,3,0,,0,0,,12,84,1008,28,3,,,14,2,VNA,CN,CN
BF930,59-901-4-1,,15-410-4-1,12,,1,0,,0,0,,12,126,1512,42,3,,,14,2,VNA,TW,TW
BF932,51-478B,,17-094C,12,,109,0,,0,0,,12,150,1800,30,5,,,24,12,RS6,RU,RU
BF933,51-262H,,01-187E,16,,241,0,,0,0,,1,1800,1800,90,20,,,18,6,"01R, EAE, EAW",RU,RU
BF938,56-253C,,08-074L,12,,8,0,,0,0,,12,88,1056,11,8,,,16,4,RS2,,
BF939,55-262C,,19-398G,21,,10,0,,0,0,,12,88,1056,11,8,,,30,18,RS6,,
BF940,56-425B,02-229-1-1,"01-415-2-2, 01-437-1-2",30,245,"150, 150",0,1,"0, 0",0,0,12,150,1800,15,10,3600,1800,30,18,001,,
BF948-JD,05-904-4-1,,03-075C,14,,16,5,,1,12,,12,70,840,10,7,,,24,12,RS2,,
BF954,57-432B,02-225-1-1,01-423-2-2,24,143,150,0,6,150,0,150,12,150,1800,15,10,3600,1800,30,18,001,,
BF955,57-220B,02-227-2-3,"09-439-5-1, 53-621-1-1",16,3,"54, 248",0,2,"2, 0",0,2,12,88,1056,11,8,60,36,14,2,009,,
BF957,56-417B,02-207-1-1,"01-413-5-2, 01-427-2-1, 50-601-1-1",21,121,"88, 88, 616",0,10,"0, 0, 0",0,0,12,88,1056,11,8,2112,1056,14,2,001,,
BF957-D,52-409B,,"15-415-6-1, 15-441-4-2, 21-463-2-2, 21-476-2-2",31,,"77, 77, 22, 49",6,,"0, 0, 0, 0",0,,12,77,924,11,7,,,45,21,VNA,,
BF958,01-919-1-1,,"19-472-1-2, 22-423-3-2",46,,"10, 21",0,,"0, 0",0,,12,55,660,11,5,,,72,36,VNA,,
BF959,56-239B,02-261-2-1,"09-428-2-1, 09-467-4-2, 16-450-2-2, 19-474-2-1, 35-603-1-1",6,8,"23, 69, 60, 60, 360",0,0,"0, 0, 0, 0, 0",0,0,12,60,720,12,5,156,84,18,6,009,,
BF962,05-905-5-1,,19-414A,31,,26,0,,0,0,,12,70,840,10,7,,,40,28,VNA,,
BF964,56-464A,,18-437-6-2,7,,1,0,,0,0,,12,126,1512,42,3,,,14,2,VNA,TW,TW
BF966,01-929-4-3,,02-189I,30,,70,0,,0,0,,12,96,1152,24,4,,,48,24,VNA,TW,TW
BF968,56-431B,,02-566H,4,,6,0,,0,0,,12,80,960,10,8,,,14,2,RS4,,
BF970,53-257B,02-149-1-1,"01-449-1-1, 01-449-1-2, 01-449-2-1, 41-601-1-1, 41-611-1-1, 41-642-1-1",12,111,"66, 66, 66, 1092, 132, 54",0,0,"0, 0, 0, 0, 0, 0",0,0,12,66,792,11,6,2376,1188,15,3,001,,
BF971,56-907-4-4,03-232-1-2,"04-432-4-2, 04-472-5-1, 04-476-6-1, 34-617-1-1",31,66,"66, 54, 66, 396",0,0,"0, 0, 0, 0",0,0,12,66,792,11,6,1584,792,14,2,004,,
BF976,01-913-3-3,06-367-2-1,"09-451-2-2, 35-628-1-1",51,22,"25, 128",8,0,"0, 0",0,0,12,32,384,8,4,384,192,60,36,009,,
BF978,56-424B,,08-050M,17,,13,0,,0,0,,12,55,660,11,5,,,24,12,RS2,,
BF979,01-913-2-3,"02-273-2-7, 23-414-2-2","09-432-6-1, 17-478-3-1, 18-021A, 18-072A",66,"6, 4","54, 55, 36, 19",6,"0, 0","0, 0, 0, 0",0,"0, 0",12,55,660,11,5,72,48,72,48,009,,
BF980,"52-427C, 56-229B",,03-062C,"3, 3",,39,"0, 0",,0,"0, 0",,12,55,660,11,5,,,14,2,RS2,,
BF9800,54-201C,,"04-126A, 04-140C",11,,"11, 29",0,,"0, 0",0,,12,32,384,8,4,,,14,2,009,,
BF9802,"07-901-1-1, 55-417D",06-241-1-2,16-466-2-2,"12, 0",53,32,"0, 0",2,0,"0, 0",0,12,32,384,8,4,768,384,16,4,005,,
BF9807,54-909-1-1,,02-789B,7,,19,0,,0,0,,12,135,1620,15,9,,,14,2,VNA,ID,ID
BF9808-D,06-904-5-1,,03-156A,22,,29,0,,0,0,,12,70,840,10,7,,,24,12,RS4,,
BF9809-D,53-910-4-3,,"02-582I, 02-662G, 03-178B",8,,"41, 22, 59",0,,"0, 0, 0",0,,12,60,720,10,5,,,14,2,RS4,,
BF9810-D,56-213C,,02-629A,11,,34,0,,0,0,,12,50,600,10,5,,,14,2,RS4,,
BF9811-SP,04-904-2-1,07-306-1-2,99-999Z,3,44,1,1,0,1,12,0,12,35,420,7,5,840,420,20,8,008,,
BF9812,59-903-1-3,,19-790E,11,,20,0,,0,0,,12,66,792,11,6,,,14,2,VNA,CN,CN
BF9815,59-910-5-2,,03-130E,3,,19,0,,0,0,,12,44,528,11,4,,,14,2,VNA,CN,CN
BF9817,60-906-2-2,10-428-6-2,51-662-1-1,0,10,279,0,0,0,0,0,12,28,336,7,4,336,0,14,2,2DF,CN,CN
BF9818,54-255C,,"17-117D, 17-157A",7,,"19, 13",0,,"0, 0",0,,12,28,336,7,4,,,14,2,RS8,CN,"CN, CN"
BF9821,52-199D,,09-188L,11,,10,0,,0,0,,12,84,1008,14,6,,,14,2,RS4,CN,CN
BF9822-D,53-263A,,14-424-4-1,13,,3,0,,0,0,,12,80,960,10,8,,,14,2,VNA,,
BF9827-D,55-422C,,"19-630I, 19-710D",16,,"32, 21",0,,"0, 0",0,,12,60,720,10,6,,,18,6,RS8,,
BF9828-D,54-203E,03-152-2-1,18-181A,34,10,22,0,0,0,0,0,12,80,960,10,8,192,96,36,24,009,,
BF9830-D,59-904-1-4,,19-822G,15,,10,0,,0,0,,12,80,960,10,8,,,24,12,VNA,,
BF9831,53-264D,,14-426-3-1,1,,6,0,,0,0,,12,40,480,10,4,,,14,2,VNA,CN,CN
BF9833-D,54-231C,,17-122F,13,,32,0,,0,0,,12,70,840,10,7,,,24,12,RS8,,
BF9834,54-220A,,17-164F,8,,49,0,,0,0,,12,55,660,11,5,,,14,2,RS8,,
BF9836-D,53-270B,,21-452-4-1,4,,43,0,,0,0,,12,80,960,10,8,,,14,2,RS6,,
BF9837-D,54-901-5-3,,19-153C,3,,5,0,,0,0,,12,84,1008,14,6,,,14,2,RS6,,
BF9839-D,55-205C,,17-036C,12,,26,0,,0,0,,12,50,600,10,5,,,14,2,RS6,,
BF9843,52-422D,,15-411-1-2,7,,1,0,,0,0,,12,66,792,11,6,,,14,2,VNA,CN,CN
BF9844,"52-405A, 52-445D",10-453-5-1,18-035E,"4, 3",11,24,"0, 0",0,0,"0, 0",0,12,35,420,7,5,420,0,14,2,2DF,CN,CN
BF9846,53-248C,,14-459-5-2,6,,1,0,,0,0,,12,70,840,10,7,,,14,2,VNA,IL,IL
BF9847-D,01-921-1-8,06-367-1-1,05-403-2-1,52,63,60,0,0,0,0,0,12,70,840,10,7,1260,420,72,48,005,,
BF9848,53-455C,,19-398C,9,,11,0,,0,0,,12,70,840,10,7,,,14,2,RS6,TW,TW
BF9851,55-250D,,15-418-3-2,3,,4,0,,0,0,,12,54,648,9,6,,,14,2,VNA,TW,TW
BF9852,53-266B,,19-373A,4,,33,0,,0,0,,12,55,660,11,5,,,14,2,RS6,CN,CN
BF9857,53-400B,,19-217C,16,,4,0,,0,0,,12,63,756,9,7,,,24,12,RS6,TW,TW
BF9858 KIT,,02-145-1-1,"01-413-6-1, 17-448-4-1, 17-448-6-1",,283,"185, 300, 300",,0,"0, 0, 0",,0,1,300,300,50,6,450,150,,,001,CN,"CN, CN, CN"
BF9860,57-207D,24-521-1-1,43-689-1-1,38,480,288,0,9,0,0,0,6,36,216,12,3,3240,1728,60,36,10W,,
BF9863,59-903-5-1,,19-582C,13,,14,0,,0,0,,12,200,2400,20,10,,,17,5,VNA,TW,TW
BF9866-O,54-432D,07-214-2-7,"09-467-5-2, 17-036E, 19-454A, 34-667-1-1, 99-999Z",6,4,"33, 23, 26, 60, 1",2,0,"33, 0, 0, 0, 1",12,0,12,35,420,7,5,96,48,20,8,009,CN,"CN, CN, CN, CN, CN"
BF9867-O,52-420B,,"17-064D, 18-107A",13,,"20, 22",0,,"0, 0",0,,12,35,420,7,5,,,20,8,RS6,CN,"CN, CN"
BF9871-O,54-225C,02-109-1-2,"01-411-6-1, 17-142E, 99-999Z",10,63,"42, 42, 1",1,2,"0, 0, 1",12,0,12,42,504,7,6,1008,504,30,18,001,CN,"CN, CN, CN"
BF9875-DM,56-231D,,19-510A,20,,18,0,,0,0,,12,77,924,11,7,,,30,18,RS8,,
BF9876,52-201C,,"19-133C, 19-142H",7,,"20, 14",0,,"0, 0",0,,12,66,792,11,6,,,14,2,RS6,CN,"CN, CN"
BF9877,58-910-1-3,,19-193C,15,,13,0,,0,0,,12,110,1320,11,10,,,14,2,VNA,,
BF9878,54-433D,,14-403-6-2,10,,17,0,,0,0,,12,66,792,11,6,,,14,2,VNA,CN,CN
BF988,55-449B,02-209-1-2,"01-409-4-2, 01-419-6-1, 52-687-1-1",20,159,"135, 135, 270",0,0,"0, 0, 0",0,0,12,135,1620,15,9,3240,1620,18,6,001,,
BF9880,53-253D,,14-401-3-1,13,,3,0,,0,0,,12,28,336,7,4,,,14,2,VNA,CN,CN
BF9881,53-902-5-1,,"02-222G, 02-281B",30,,"5, 9",0,,"0, 0",0,,12,55,660,11,5,,,14,2,RS2,GB,"GB, GB"
BF9882,01-909-2-1,03-254-1-1,"04-454-3-1, 04-454-3-2, 04-454-4-1, 04-454-4-2, 51-604-1-1",225,69,"42, 42, 42, 42, 167",0,8,"0, 0, 0, 0, 0",0,0,12,42,504,7,6,1008,504,336,168,004,CN,"CN, CN, CN, CN, CN"
