Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
AF1600,56-902-1-3,,20-467-2-2,2,,9,0,,0,0,,6,44,264,11,4,,,8,2,VNA,,
AF1604,23-903-5-1,,"14-421-3-1, 21-438-3-2",7,,"3, 14",0,,"0, 0",0,,6,45,270,9,5,,,8,2,VNA,KR,"KR, KR"
AF1607,64-908-1-2,,"14-402-2-2, 14-402-3-2, 15-401-5-1",6,,"44, 32, 48",0,,"0, 0, 0",0,,6,54,324,9,6,,,8,2,VNA,TW,"TW, TW, DE"
AF1608,59-910-5-4,,19-254C,6,,14,0,,0,0,,6,48,288,12,4,,,8,2,VNA,,
AF1611,54-905-3-3,,02-274C,4,,19,0,,0,0,,6,175,1050,25,7,,,8,2,VNA,KR,KR
AF1612,54-905-3-2,,19-374E,2,,18,0,,0,0,,6,60,360,10,6,,,8,2,VNA,AT,AT
AF1613,62-906-5-1,,15-415-2-1,4,,18,0,,0,0,,6,75,450,15,5,,,8,2,VNA,CN,CN
AF1614,61-910-5-1,,"15-453-3-2, 15-455-4-1, 15-455-4-2",5,,"2, 27, 27",0,,"0, 0, 0",0,,6,27,162,9,3,,,8,2,VNA,AT,"AT, AT, AT"
AF1619,41-429C,,17-162F,6,,31,0,,0,0,,6,60,360,12,5,,,8,2,RS8,KR,KR
AF162,41-276E,,"02-609B, 03-170D",3,,"1, 12",0,,"0, 0",0,,6,12,72,4,3,,,8,2,VNA,MX,"MX, MX"
AF1620,41-444D,12-432-5-1,"18-144B, 19-765A, 21-455-4-2, 21-461-6-2, 21-463-6-2",4,31,"18, 8, 36, 36, 36",3,1,"0, 0, 0, 0, 0",6,0,6,36,216,9,4,,,8,2,2DF,TW,"TW, TW, TW, TW, TW"
AF1623,41-426E,,"15-401-2-2, 15-401-3-1, 15-401-3-2",5,,"5, 36, 36",0,,"0, 0, 0",0,,6,8,48,4,2,,,8,2,VNA,TW,"TW, TW, TW"
AF1627,43-449D,03-368-2-2,"09-403-3-1, 17-013E, 17-037E, 18-061C, 33-603-1-1, 69-122A",7,8,"63, 16, 48, 36, 243, 192",0,0,"0, 0, 0, 0, 0, 0",0,0,6,36,216,9,4,54,30,8,2,009,TW,"TW, TW, TW, TW, TW, TW"
AF1628,41-270E,,"02-581I, 02-741A",7,,"46, 29",0,,"0, 0",0,,6,48,288,12,4,,,8,2,RS4,TW,"TW, TW"
AF1630,10-909-3-2,,"03-140C, 03-142A, 03-146F",4,,"26, 52, 58",0,,"0, 0, 0",0,,6,80,480,16,5,,,8,2,VNA,MA,"MA, MA, MA"
AF1640,10-901-1-1,,19-278B,2,,14,0,,0,0,,6,72,432,12,6,,,8,2,VNA,,
AF1641,47-359D,,02-677I,3,,9,0,,0,0,,6,36,216,9,4,,,8,2,RS4,CN,CN
AF1643,41-560C,,19-737B,6,,18,0,,0,0,,6,90,540,11,4,,,8,2,RS8,,
AF1644,41-552E,,19-737C,7,,22,0,,0,0,,6,84,504,14,6,,,8,2,RS8,CN,CN
AF1645,19-903-3-2,,18-068A,5,,36,0,,0,0,,6,60,360,12,5,,,8,2,VNA,KR,KR
AF1646,41-512D,,19-214D,7,,11,0,,0,0,,6,30,180,6,5,,,8,2,RS6,PL,PL
AF1647,13-903-1-1,,"01-120E, 03-148F, 04-118B",2,,"15, 13, 26",0,,"0, 0, 0",0,,6,36,216,9,4,,,8,2,VNA,KR,"KR, KR, KR"
AF1648,54-910-1-1,,11-143L,10,,14,0,,0,0,,6,84,504,12,7,,,8,2,VNA,KR,KR
AF1655,67-908-4-2,,17-170C,2,,28,0,,0,0,,6,30,180,6,5,,,8,2,VNA,RO,RO
AF1657,"02-918-4-8, 44-409B",,"14-415-1-1, 14-415-2-1","5, 6",,"37, 1","0, 0",,"0, 0","0, 0",,6,40,240,8,5,,,8,2,VNA,CN,"CN, CN"
AF1658,41-513C,,02-678A,5,,43,0,,0,0,,6,96,576,16,6,,,8,2,RS4,PL,PL
AF1660,67-908-2-1,,"04-158D, 04-178F",4,,"24, 45",0,,"0, 0",0,,6,45,270,9,5,,,8,2,VNA,CN,"CN, CN"
AF1661,67-907-5-3,,02-781G,4,,21,0,,0,0,,6,48,288,12,4,,,8,2,VNA,CN,CN
AF1662,67-908-1-1,,"03-113F, 03-135E",5,,"16, 16",0,,"0, 0",0,,6,18,108,6,3,,,8,2,RS4,CN,"CN, CN"
AF1663,67-907-5-4,,03-163B,2,,69,0,,0,0,,6,80,480,16,5,,,8,2,VNA,CN,CN
AF1664,67-908-1-2,,10-148L,6,,20,0,,0,0,,6,80,480,16,5,,,8,2,RS4,KV,KV
AF1665,67-907-5-2,,02-750D,5,,20,0,,0,0,,6,80,480,16,5,,,8,2,RS4,KV,KV
AF1666,67-907-5-1,,02-501E,4,,15,0,,0,0,,6,90,540,15,6,,,8,2,VNA,CN,CN
AF1669,67-908-3-2,,", , -, , , -1-4",0,,17,0,,17,0,,6,40,240,8,5,,,8,2,VNA,CN,CN
AF1670,43-456B,,14-441-1-1,3,,26,0,,0,0,,6,35,210,7,5,,,8,2,VNA,CN,CN
AF1672,67-908-2-2,,03-168D,5,,31,0,,0,0,,6,48,288,12,4,,,8,2,VNA,KR,KR
AF1673,43-258C,,14-409-6-2,8,,43,0,,0,0,,6,180,1080,30,6,,,12,6,VNA,TW,TW
AF17,55-902-3-1,,15-443-1-2,5,,7,0,,0,0,,6,21,126,7,3,,,8,2,VNA,MX,MX
AF19,67-902-3-1,,17-453-6-1,9,,17,0,,0,0,,6,32,192,8,4,,,8,2,VNA,MX,MX
AF190,56-901-3-1,,21-409-4-1,6,,28,0,,0,0,,6,60,360,12,5,,,12,6,VNA,MA,MA
AF191,18-908-4-1,,19-509G,6,,6,0,,0,0,,6,32,192,16,2,,,8,2,RS8,MX,MX
AF199,60-907-3-2,,15-409-1-2,6,,11,0,,0,0,,6,40,240,20,2,,,12,6,VNA,MX,MX
AF2007,,12-412-3-2,42-658-1-1,,14,32,,0,0,,0,1,16,16,4,4,,,,,2DF,,
AF203,,12-450-3-2,14-444-2-1,,17,16,,0,0,,0,1,27,27,9,3,,,,,2DF,,
AF2033,,03-350-1-2,"04-426-1-2, 04-450-1-2, 48-659-1-1",,85,"80, 80, 320",,0,"0, 0, 0",,0,1,80,80,20,4,120,40,,,004,,
AF2034,,11-434-6-1,44-618-1-1,,16,32,,0,0,,0,1,32,32,16,2,32,16,,,2DF,,
AF2036,,12-404-3-1,18-068B,,4,16,,0,0,,0,1,18,18,9,2,,,,,2DF,,
